modelname, min_count, window_size, vector_size, learning_rate, architecture, min_n, max_n, unit_count, accuracy
fasttext_3_5_200_045_sg_2_5_75, 3, 5, 200, 0.045, sg, 2, 5, 75, 0.669062980030722
fasttext_3_5_200_045_sg_3_6_75, 3, 5, 200, 0.045, sg, 3, 6, 75, 0.6509984639016897
fasttext_3_2_200_045_sg_2_5_125, 3, 2, 200, 0.045, sg, 2, 5, 125, 0.6916129032258065
fasttext_3_2_200_045_sg_3_6_125, 3, 2, 200, 0.045, sg, 3, 6, 125, 0.6367434715821813
fasttext_2_2_200_045_sg_2_5_125, 2, 2, 200, 0.045, sg, 2, 5, 125, 0.6922887864823348
fasttext_2_2_200_045_sg_3_6_125, 2, 2, 200, 0.045, sg, 3, 6, 125, 0.664331797235023
fasttext_5_5_200_045_sg_2_5_125, 5, 5, 200, 0.045, sg, 2, 5, 125, 0.6598463901689708
fasttext_5_5_200_045_sg_3_6_125, 5, 5, 200, 0.045, sg, 3, 6, 125, 0.6074961597542242
fasttext_2_3_200_045_sg_2_5_125, 2, 3, 200, 0.045, sg, 2, 5, 125, 0.6975115207373271
fasttext_2_3_200_045_sg_3_6_125, 2, 3, 200, 0.045, sg, 3, 6, 125, 0.6423348694316436
